	IntGW-01-10.20.1.250-2516	IntGW-02-10.20.1.250-2516	RR-01-10.20.1.251-2516	RR-01-10.20.1.252-2516	IntGW-01-10.30.2.10-30	IntGW-02-10.30.2.14-10	IntGW-02-10.30.2.18-20	IntGW-01-10.30.2.2-10	IntGW-02-10.30.2.22-30	IntGW-01-10.30.2.6-20	timestamp
0	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629105300
1	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629105400
2	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629105500
3	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629105600
4	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629105700
5	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629105800
6	0	0	7835	7836	0	7821	7821	0	7821	0	20200629105900
7	0	0	7835	7836	0	7821	7821	0	7821	0	20200629110000
8	0	0	7835	0	0	7821	7821	0	7821	0	20200629110100
9	0	0	7835	0	0	7821	7821	0	7821	0	20200629110200
10	0	0	7835	0	0	7821	0	0	7821	0	20200629110300
11	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629110400
12	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629110500
13	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629110600
14	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629110700
15	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629110800
16	0	0	7836	7836	7821	0	0	7821	0	7821	20200629110900
17	0	0	7836	7835	7821	0	0	7821	0	7821	20200629111000
18	0	0	7836	7835	7821	0	0	7821	0	7821	20200629111100
19	0	0	0	7835	7821	0	0	7821	0	7821	20200629111200
20	0	0	0	7835	7821	0	0	7821	0	7821	20200629111300
21	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629111400
22	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629111500
23	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629111600
24	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629111700
25	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629111800
26	0	0	0	0	7821	7821	7821	7821	7821	7821	20200629111900
27	0	0	0	0	7821	7821	7821	7821	7821	7821	20200629112000
28	0	0	0	0	7821	7821	7821	7821	7821	7821	20200629112100
29	0	0	0	0	7821	7821	7821	7821	7821	7821	20200629112200
30	0	0	0	0	7821	7821	7821	7821	7821	7821	20200629112300
31	0	0	0	0	7821	7821	7821	7821	7821	7821	20200629112400
32	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629112500
33	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629112600
34	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629112700
35	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629112800
36	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629112900
37	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629113000
38	0	0	7834	7834	7821	7821	7821	7821	7821	7821	20200629113100
39	0	0	7834	7834	7821	7821	7821	7821	7821	7821	20200629113200
40	0	0	7834	7834	7821	7821	7821	7821	7821	7821	20200629113300
41	0	0	7834	7834	7821	7821	7821	7821	7821	7821	20200629113400
42	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629113500
43	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629113600
44	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629113700
45	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629113800
46	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629113900
47	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629114000
48	0	0	7834	7834	7821	7821	7821	7821	7821	7821	20200629114100
49	0	0	7834	7834	7821	7821	7821	7821	7821	7821	20200629114200
50	0	0	7834	7834	7821	7821	7821	7821	7821	7821	20200629114300
51	0	0	7834	7834	7821	7821	7821	7821	7821	7821	20200629114400
52	0	0	7834	7834	7821	7821	7821	7821	7821	7821	20200629114500
53	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629114600
54	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629114700
55	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629114800
56	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629114900
57	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629115000
58	0	0	7836	7836	7821	7821	7821	0	7821	7821	20200629115100
59	0	0	7836	7836	7821	7821	7821	0	7821	7821	20200629115200
60	0	0	7836	7836	7821	7821	7821	0	7821	7821	20200629115300
61	0	0	7836	7836	7821	7821	7821	0	7821	7821	20200629115400
62	0	0	7836	7836	7821	7821	7821	0	7821	7821	20200629115500
63	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629115600
64	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629115700
65	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629115800
66	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629115900
67	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629120000
68	0	0	7836	7836	7821	7821	7821	7821	7821	0	20200629120100
69	0	0	7836	7836	7821	7821	7821	7821	7821	0	20200629120200
70	0	0	7836	7836	7821	7821	7821	7821	7821	0	20200629120300
71	0	0	7836	7836	7821	7821	7821	7821	7821	0	20200629120400
72	0	0	7836	7836	7821	7821	7821	7821	7821	0	20200629120500
73	0	0	7836	7836	7821	7821	7821	7821	7821	7817	20200629120600
74	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629120700
75	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629120800
76	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629120900
77	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629121000
78	0	0	7836	7836	0	7821	7821	7821	7821	7821	20200629121100
79	0	0	7836	7836	0	7821	7821	7821	7821	7821	20200629121200
80	0	0	7836	7836	0	7821	7821	7821	7821	7821	20200629121300
81	0	0	7836	7836	0	7821	7821	7821	7821	7821	20200629121400
82	0	0	7836	7836	0	7821	7821	7821	7821	7821	20200629121500
83	0	0	7836	7836	0	7821	7821	7821	7821	7821	20200629121600
84	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629121700
85	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629121800
86	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629121900
87	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629122000
88	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629122100
89	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629122200
90	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629122300
91	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629122400
92	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629122500
93	0	0	7836	7836	7821	7821	7821	7821	7821	7821	20200629122600
