	IntGW-01_Gi5	IntGW-01_Gi6	IntGW-01_Gi7	IntGW-02_Gi5	IntGW-02_Gi6	IntGW-02_Gi7	timestamp
0	7821	7821	7821	7821	7821	7821	20200629105300
1	7821	7821	7821	7821	7821	7821	20200629105400
2	7821	7821	7821	7821	7821	7821	20200629105500
3	7821	7821	7821	7821	7821	7821	20200629105600
4	7821	7821	7821	7821	7821	7821	20200629105700
5	7821	7821	7821	7821	7821	7821	20200629105800
6	0	0	0	7821	7821	7821	20200629110100
7	0	0	0	7821	7821	7821	20200629110200
8	7821	7821	7821	7821	7821	7821	20200629110500
9	7821	7821	7821	7821	7821	7821	20200629110600
10	7821	7821	7821	7821	7821	7821	20200629110700
11	7821	7821	7821	7821	7821	7821	20200629110800
12	7821	7821	7821	0	0	0	20200629111100
13	7821	7821	7821	0	0	0	20200629111200
14	7821	7821	7821	7821	7821	7821	20200629111500
15	7821	7821	7821	7821	7821	7821	20200629111600
16	7821	7821	7821	7821	7821	7821	20200629111700
17	7821	7821	7821	7821	7821	7821	20200629111800
18	7821	7821	7821	7821	7821	7821	20200629111900
19	7821	7821	7821	7821	7821	7821	20200629112200
20	7821	7821	7821	7821	7821	7821	20200629112300
21	7821	7821	7821	7821	7821	7821	20200629112600
22	7821	7821	7821	7821	7821	7821	20200629112700
23	7821	7821	7821	7821	7821	7821	20200629112800
24	7821	7821	7821	7821	7821	7821	20200629112900
25	7821	7821	7821	7821	7821	7821	20200629113200
26	7821	7821	7821	7821	7821	7821	20200629113300
27	7821	7821	7821	7821	7821	7821	20200629113600
28	7821	7821	7821	7821	7821	7821	20200629113700
29	7821	7821	7821	7821	7821	7821	20200629113800
30	7821	7821	7821	7821	7821	7821	20200629113900
31	7821	7821	7821	7821	7821	7821	20200629114200
32	7821	7821	7821	7821	7821	7821	20200629114300
33	7821	7821	7821	7821	7821	7821	20200629114400
34	7821	7821	7821	7821	7821	7821	20200629114700
35	7821	7821	7821	7821	7821	7821	20200629114800
36	7821	7821	7821	7821	7821	7821	20200629114900
37	7821	7821	7821	7821	7821	7821	20200629115000
38	0	7821	7821	7821	7821	7821	20200629115300
39	0	7821	7821	7821	7821	7821	20200629115400
40	7821	7821	7821	7821	7821	7821	20200629115700
41	7821	7821	7821	7821	7821	7821	20200629115800
42	7821	7821	7821	7821	7821	7821	20200629115900
43	7821	7821	7821	7821	7821	7821	20200629120000
44	7821	0	7821	7821	7821	7821	20200629120300
45	7821	0	7821	7821	7821	7821	20200629120400
46	7821	7821	7821	7821	7821	7821	20200629120700
47	7821	7821	7821	7821	7821	7821	20200629120800
48	7821	7821	7821	7821	7821	7821	20200629120900
49	7821	7821	7821	7821	7821	7821	20200629121000
50	7821	7821	0	7821	7821	7821	20200629121300
51	7821	7821	0	7821	7821	7821	20200629121400
52	7821	7821	7821	7821	7821	7821	20200629121700
53	7821	7821	7821	7821	7821	7821	20200629121800
54	7821	7821	7821	7821	7821	7821	20200629121900
55	7821	7821	7821	7821	7821	7821	20200629122000
56	7821	7821	7821	7821	7821	7821	20200629122300
57	7821	7821	7821	7821	7821	7821	20200629122400
58	7821	7821	7821	7821	7821	7821	20200629122700
59	7821	7821	7821	7821	7821	7821	20200629122800
60	7821	7821	7821	7821	7821	7821	20200629122900
61	7821	7821	7821	7821	7821	7821	20200629123000
62	7821	7821	7821	7821	7821	7821	20200629123100
63	7821	7821	7821	7821	7821	7821	20200629123400
64	7821	7821	7821	7821	7821	7821	20200629123500
65	7821	7821	7821	7821	7821	7821	20200629123800
66	7821	7821	7821	7821	7821	7821	20200629123900
67	7821	7821	7821	7821	7821	7821	20200629124000
68	7821	7821	7821	7821	7821	7821	20200629124100
69	7821	7821	7821	0	7821	7821	20200629124400
70	7821	7821	7821	0	7821	7821	20200629124500
71	7821	7821	7821	7821	7821	7821	20200629124800
72	7821	7821	7821	7821	7821	7821	20200629124900
73	7821	7821	7821	7821	7821	7821	20200629125000
74	7821	7821	7821	7821	7821	7821	20200629125100
75	7821	7821	7821	7821	0	7821	20200629125400
76	7821	7821	7821	7821	0	7821	20200629125500
77	7821	7821	7821	7821	7821	7821	20200629125800
78	7821	7821	7821	7821	7821	7821	20200629125900
79	7821	7821	7821	7821	7821	7821	20200629130000
80	7821	7821	7821	7821	7821	7821	20200629130100
81	7821	7821	7821	7821	7821	0	20200629130400
82	7821	7821	7821	7821	7821	0	20200629130500
83	7821	7821	7821	7821	7821	7821	20200629130800
84	7821	7821	7821	7821	7821	7821	20200629130900
85	7821	7821	7821	7821	7821	7821	20200629131000
86	7821	7821	7821	7821	7821	7821	20200629131100
87	7821	7821	7821	7821	7821	7821	20200629131400
88	7821	7821	7821	7821	7821	7821	20200629131500
89	7821	7821	7821	7821	7821	7821	20200629131600
90	7821	7821	7821	7821	7821	7821	20200629131900
91	7821	7821	7821	7821	7821	7821	20200629132000
92	7821	7821	7821	7821	7821	7821	20200629132100
93	7821	7821	7821	7821	7821	7821	20200629132200
94	7821	7821	7821	7821	7821	7821	20200629132500
95	7821	7821	7821	7821	7821	7821	20200629132600
96	7821	7821	7821	7821	7821	7821	20200629132900
97	7821	7821	7821	7821	7821	7821	20200629133000
98	7821	7821	7821	7821	7821	7821	20200629133100
99	7821	7821	7821	7821	7821	7821	20200629133200
100	7821	7821	7821	7821	7821	7821	20200629133500
101	7821	7821	7821	7821	7821	7821	20200629133600
102	7821	7821	7821	7821	7821	7821	20200629133900
103	7821	7821	7821	7821	7821	7821	20200629134000
104	7821	7821	7821	7821	7821	7821	20200629134100
105	7821	7821	7821	7821	7821	7821	20200629134200
106	7821	7821	7821	7821	7821	7821	20200629134500
107	7821	7821	7821	7821	7821	7821	20200629134600
108	7821	7821	7821	7821	7821	7821	20200629134900
109	7821	7821	7821	7821	7821	7821	20200629135000
110	7821	7821	7821	7821	7821	7821	20200629135100
111	7821	7821	7821	7821	7821	7821	20200629135200
112	7821	7821	7821	7821	7821	7821	20200629135500
113	7821	7821	7821	7821	7821	7821	20200629135600
114	7821	7821	7821	7821	7821	7821	20200629135900
115	7821	7821	7821	7821	7821	7821	20200629140000
116	7821	7821	7821	7821	7821	7821	20200629140100
117	7821	7821	7821	7821	7821	7821	20200629140200
118	7821	7821	7821	7821	7821	7821	20200629140500
119	7821	7821	7821	7821	7821	7821	20200629140600
120	7821	7821	7821	7821	7821	7821	20200629140700
121	7821	7821	7821	7821	7821	7821	20200629141000
122	7821	7821	7821	7821	7821	7821	20200629141100
123	7821	7821	7821	7821	7821	7821	20200629141200
124	7821	7821	7821	7821	7821	7821	20200629141300
125	7821	7821	7821	7821	7821	7821	20200629141600
126	7821	7821	7821	7821	7821	7821	20200629141700
127	7821	7821	7821	7821	7821	7821	20200629142000
128	7821	7821	7821	7821	7821	7821	20200629142100
129	7821	7821	7821	7821	7821	7821	20200629142200
130	7821	7821	7821	7821	7821	7821	20200629142300
131	7821	7821	7821	7821	7821	7821	20200629142600
132	7821	7821	7821	7821	7821	7821	20200629142700
133	7821	7821	7821	7821	7821	7821	20200629143000
134	7821	7821	7821	7821	7821	7821	20200629143100
135	7821	7821	7821	7821	7821	7821	20200629143200
136	7821	7821	7821	7821	7821	7821	20200629143300
137	7821	7821	7821	7821	7821	7821	20200629143600
138	7821	7821	7821	7821	7821	7821	20200629143700
139	7821	7821	7821	7821	7821	7821	20200629144000
140	7821	7821	7821	7821	7821	7821	20200629144100
141	7821	7821	7821	7821	7821	7821	20200629144200
142	7821	7821	7821	7821	7821	7821	20200629144300
143	7821	7821	7821	7821	7821	7821	20200629144600
144	7821	7821	7821	7821	7821	7821	20200629144700
145	7821	7821	7821	7821	7821	7821	20200629145000
146	7821	7821	7821	7821	7821	7821	20200629145100
147	7821	7821	7821	7821	7821	7821	20200629145200
148	7821	7821	7821	7821	7821	7821	20200629145300
149	7821	7821	7821	7821	7821	7821	20200629145600
150	7821	7821	7821	7821	7821	7821	20200629145700
151	7821	7821	7821	7821	7821	7821	20200629145800
152	7821	7821	7821	7821	7821	7821	20200629150100
153	7821	7821	7821	7821	7821	7821	20200629150200
154	7821	7821	7821	7821	7821	7821	20200629150300
155	7821	7821	7821	7821	7821	7821	20200629150400
156	7821	7821	7821	7821	7821	7821	20200629150700
157	7821	7821	7821	7821	7821	7821	20200629150800
158	7821	7821	7821	7821	7821	7821	20200629151100
159	7821	7821	7821	7821	7821	7821	20200629151200
160	7821	7821	7821	7821	7821	7821	20200629151300
161	7821	7821	7821	7821	7821	7821	20200629151400
162	7821	7821	7821	7821	7821	7821	20200629151700
163	7821	7821	7821	7821	7821	7821	20200629151800
164	7821	7821	7821	7821	7821	7821	20200629152100
165	7821	7821	7821	7821	7821	7821	20200629152200
166	7821	7821	7821	7821	7821	7821	20200629152300
167	7821	7821	7821	7821	7821	7821	20200629152400
168	7821	7821	7821	7821	7821	7821	20200629152700
169	7821	7821	7821	7821	7821	7821	20200629152800
170	7821	7821	7821	7821	7821	7821	20200629153100
171	7821	7821	7821	7821	7821	7821	20200629153200
172	7821	7821	7821	7821	7821	7821	20200629153300
173	7821	7821	7821	7821	7821	7821	20200629153400
174	7821	7821	7821	7821	7821	7821	20200629153700
175	7821	7821	7821	7821	7821	7821	20200629153800
176	7821	7821	7821	7821	7821	7821	20200629153900
177	7821	7821	7821	7821	7821	7821	20200629154200
178	7821	7821	7821	7821	7821	7821	20200629154300
179	7821	7821	7821	7821	7821	7821	20200629154400
180	7821	7821	7821	7821	7821	7821	20200629154500
181	7821	7821	7821	7821	7821	7821	20200629154800
182	7821	7821	7821	7821	7821	7821	20200629154900
183	7821	7821	7821	7821	7821	7821	20200629155200
184	7821	7821	7821	7821	7821	7821	20200629155300
185	7821	7821	7821	7821	7821	7821	20200629155400
186	7821	7821	7821	7821	7821	7821	20200629155500
187	7821	7821	7821	7821	7821	7821	20200629155800
188	7821	7821	7821	7821	7821	7821	20200629155900
189	7821	7821	7821	7821	7821	7821	20200629160000
190	7821	7821	7821	7821	7821	7821	20200629160300
191	7821	7821	7821	7821	7821	7821	20200629160400
192	7821	7821	7821	7821	7821	7821	20200629160500
193	7821	7821	7821	7821	7821	7821	20200629160600
194	7821	7821	7821	7821	7821	7821	20200629160900
195	7821	7821	7821	7821	7821	7821	20200629161000
196	7821	7821	7821	7821	7821	7821	20200629161300
197	7821	7821	7821	7821	7821	7821	20200629161400
198	7821	7821	7821	7821	7821	7821	20200629161500
199	7821	7821	7821	7821	7821	7821	20200629161600
200	7821	7821	7821	7821	7821	7821	20200629161900
201	7821	7821	7821	7821	7821	7821	20200629162000
202	7821	7821	7821	7821	7821	7821	20200629162100
203	7821	7821	7821	7821	7821	7821	20200629162400
204	7821	7821	7821	7821	7821	7821	20200629162500
